n = 4
  |V|   |E|   deg   Gen Set   alpha   sigma
  16    48    6     [1, 3, 5]                  8       3
  16    48    6     [1, 3, 6]                  5       1
  16    48    6     [1, 3, 7]                  8       3
  16    40    5     [1, 3, 8]                  5       1
  16    48    6     [1, 4, 5]                  4       1
  16    48    6     [1, 4, 6]                  4       1
  16    48    6     [1, 4, 7]                  6       2
  16    40    5     [1, 4, 8]                  4       1
  16    48    6     [1, 5, 6]                  4       1
  16    48    6     [1, 5, 7]                  8       3
  16    40    5     [1, 5, 8]                  5       1
  16    48    6     [1, 6, 7]                  4       1
  16    40    5     [1, 6, 8]                  6       1
  16    40    5     [1, 7, 8]                  4       1
  16    48    6     [2, 3, 4]                  4       1
  16    48    6     [2, 3, 5]                  4       1
  16    48    6     [2, 3, 6]                  4       1
  16    48    6     [2, 3, 7]                  5       1
  16    40    5     [2, 3, 8]                  6       1
  16    48    6     [2, 4, 5]                  4       1
  16    48    6     [2, 4, 7]                  4       1
  16    48    6     [2, 5, 6]                  4       1
  16    48    6     [2, 5, 7]                  4       1
  16    40    5     [2, 5, 8]                  6       1
  16    48    6     [2, 6, 7]                  4       1
  16    40    5     [2, 7, 8]                  5       1
  16    48    6     [3, 4, 5]                  6       2
  16    48    6     [3, 4, 6]                  4       1
  16    48    6     [3, 4, 7]                  4       1
  16    40    5     [3, 4, 8]                  4       1
  16    48    6     [3, 5, 6]                  4       1
  16    48    6     [3, 5, 7]                  8       3
  16    40    5     [3, 5, 8]                  4       1
  16    48    6     [3, 6, 7]                  4       1
  16    40    5     [3, 6, 8]                  5       1
  16    40    5     [3, 7, 8]                  5       1
  16    48    6     [4, 5, 6]                  4       1
  16    48    6     [4, 5, 7]                  4       1
  16    40    5     [4, 5, 8]                  4       1
  16    48    6     [4, 6, 7]                  4       1
  16    40    5     [4, 7, 8]                  4       1
  16    48    6     [5, 6, 7]                  5       1
  16    40    5     [5, 6, 8]                  5       1
  16    40    5     [5, 7, 8]                  5       1
  16    40    5     [6, 7, 8]                  6       1
  16    64    8     [1, 2, 3, 4]               3       1
  16    64    8     [1, 2, 3, 5]               4       1
  16    64    8     [1, 2, 3, 6]               4       1
  16    64    8     [1, 2, 3, 7]               4       1
  16    56    7     [1, 2, 3, 8]               3       1
  16    64    8     [1, 2, 4, 5]               4       1
  16    64    8     [1, 2, 4, 6]               4       2
  16    64    8     [1, 2, 4, 7]               4       1
  16    56    7     [1, 2, 4, 8]               4       1
  16    64    8     [1, 2, 5, 6]               4       1
  16    64    8     [1, 2, 5, 7]               4       1
  16    56    7     [1, 2, 5, 8]               5       1
  16    64    8     [1, 2, 6, 7]               4       2
  16    56    7     [1, 2, 6, 8]               4       1
  16    56    7     [1, 2, 7, 8]               3       1
  16    64    8     [1, 3, 4, 5]               4       2
  16    64    8     [1, 3, 4, 6]               4       1
  16    64    8     [1, 3, 4, 7]               4       2
  16    56    7     [1, 3, 4, 8]               4       1
  16    64    8     [1, 3, 5, 6]               4       1
  16    64    8     [1, 3, 5, 7]               8       5
  16    56    7     [1, 3, 5, 8]               4       1
  16    64    8     [1, 3, 6, 7]               4       1
  16    56    7     [1, 3, 6, 8]               5       1
  16    56    7     [1, 3, 7, 8]               4       1
  16    64    8     [1, 4, 5, 6]               3       1
  16    64    8     [1, 4, 5, 7]               4       2
  16    56    7     [1, 4, 5, 8]               4       1
  16    64    8     [1, 4, 6, 7]               4       1
  16    56    7     [1, 4, 6, 8]               4       1
  16    56    7     [1, 4, 7, 8]               3       1
  16    64    8     [1, 5, 6, 7]               4       1
  16    56    7     [1, 5, 6, 8]               3       1
  16    56    7     [1, 5, 7, 8]               4       1
  16    56    7     [1, 6, 7, 8]               3       1
  16    64    8     [2, 3, 4, 5]               4       1
  16    64    8     [2, 3, 4, 6]               4       2
  16    64    8     [2, 3, 4, 7]               4       1
  16    56    7     [2, 3, 4, 8]               4       1
  16    64    8     [2, 3, 5, 6]               4       2
  16    64    8     [2, 3, 5, 7]               4       1
  16    56    7     [2, 3, 5, 8]               3       1
  16    64    8     [2, 3, 6, 7]               4       1
  16    56    7     [2, 3, 6, 8]               4       1
  16    56    7     [2, 3, 7, 8]               5       1
  16    64    8     [2, 4, 5, 6]               4       2
  16    64    8     [2, 4, 5, 7]               3       1
  16    56    7     [2, 4, 5, 8]               4       1
  16    64    8     [2, 4, 6, 7]               4       2
  16    56    7     [2, 4, 7, 8]               4       1
  16    64    8     [2, 5, 6, 7]               4       1
  16    56    7     [2, 5, 6, 8]               4       1
  16    56    7     [2, 5, 7, 8]               3       1
  16    56    7     [2, 6, 7, 8]               4       1
  16    64    8     [3, 4, 5, 6]               4       1
  16    64    8     [3, 4, 5, 7]               4       2
  16    56    7     [3, 4, 5, 8]               3       1
  16    64    8     [3, 4, 6, 7]               3       1
  16    56    7     [3, 4, 6, 8]               4       1
  16    56    7     [3, 4, 7, 8]               4       1
  16    64    8     [3, 5, 6, 7]               4       1
  16    56    7     [3, 5, 6, 8]               3       1
  16    56    7     [3, 5, 7, 8]               4       1
  16    56    7     [3, 6, 7, 8]               3       1
  16    64    8     [4, 5, 6, 7]               4       1
  16    56    7     [4, 5, 6, 8]               4       1
  16    56    7     [4, 5, 7, 8]               4       1
  16    56    7     [4, 6, 7, 8]               4       1
  16    56    7     [5, 6, 7, 8]               5       1
  16    80    10    [1, 2, 3, 4, 5]            2       1
  16    80    10    [1, 2, 3, 4, 6]            2       1
  16    80    10    [1, 2, 3, 4, 7]            3       1
  16    72    9     [1, 2, 3, 4, 8]            3       1
  16    80    10    [1, 2, 3, 5, 6]            4       2
  16    80    10    [1, 2, 3, 5, 7]            4       1
  16    72    9     [1, 2, 3, 5, 8]            3       1
  16    80    10    [1, 2, 3, 6, 7]            4       2
  16    72    9     [1, 2, 3, 6, 8]            3       1
  16    72    9     [1, 2, 3, 7, 8]            3       1
  16    80    10    [1, 2, 4, 5, 6]            2       1
  16    80    10    [1, 2, 4, 5, 7]            3       1
  16    72    9     [1, 2, 4, 5, 8]            4       1
  16    80    10    [1, 2, 4, 6, 7]            4       2
  16    72    9     [1, 2, 4, 6, 8]            2       1
  16    72    9     [1, 2, 4, 7, 8]            3       1
  16    80    10    [1, 2, 5, 6, 7]            4       2
  16    72    9     [1, 2, 5, 6, 8]            3       1
  16    72    9     [1, 2, 5, 7, 8]            3       1
  16    72    9     [1, 2, 6, 7, 8]            2       1
  16    80    10    [1, 3, 4, 5, 6]            3       1
  16    80    10    [1, 3, 4, 5, 7]            4       2
  16    72    9     [1, 3, 4, 5, 8]            3       1
  16    80    10    [1, 3, 4, 6, 7]            2       1
  16    72    9     [1, 3, 4, 6, 8]            4       1
  16    72    9     [1, 3, 4, 7, 8]            3       1
  16    80    10    [1, 3, 5, 6, 7]            4       1
