n = 5
  |V|   |E|   deg   Gen Set   alpha   sigma
  19    57    6     [1, 5, 8]                     6       1
  19    57    6     [1, 5, 9]                     5       1
  19    57    6     [1, 6, 7]                     4       1
  19    57    6     [1, 6, 8]                     7       1
  19    57    6     [1, 6, 9]                     5       1
  19    57    6     [1, 7, 8]                     4       1
  19    57    6     [1, 7, 9]                     6       1
  19    57    6     [1, 8, 9]                     4       1
  19    57    6     [2, 3, 4]                     6       1
  19    57    6     [2, 3, 5]                     4       1
  19    57    6     [2, 3, 6]                     5       1
  19    57    6     [2, 3, 7]                     7       1
  19    57    6     [2, 3, 8]                     6       1
  19    57    6     [2, 3, 9]                     6       1
  19    57    6     [2, 4, 5]                     5       1
  19    57    6     [2, 4, 6]                     4       1
  19    57    6     [2, 4, 7]                     5       1
  19    57    6     [2, 4, 8]                     5       1
  19    57    6     [2, 4, 9]                     6       1
  19    57    6     [2, 5, 6]                     6       1
  19    57    6     [2, 5, 7]                     4       1
  19    57    6     [2, 5, 8]                     7       1
  19    57    6     [2, 5, 9]                     6       1
  19    57    6     [2, 6, 7]                     5       1
  19    57    6     [2, 6, 8]                     5       1
  19    57    6     [2, 6, 9]                     7       1
  19    57    6     [2, 7, 8]                     6       1
  19    57    6     [2, 7, 9]                     5       1
  19    57    6     [2, 8, 9]                     5       1
  19    57    6     [3, 4, 5]                     6       1
  19    57    6     [3, 4, 6]                     6       1
  19    57    6     [3, 4, 7]                     5       1
  19    57    6     [3, 4, 8]                     5       1
  19    57    6     [3, 4, 9]                     7       1
  19    57    6     [3, 5, 6]                     6       1
  19    57    6     [3, 5, 7]                     6       1
  19    57    6     [3, 5, 8]                     4       1
  19    57    6     [3, 5, 9]                     5       1
  19    57    6     [3, 6, 7]                     5       1
  19    57    6     [3, 6, 8]                     5       1
  19    57    6     [3, 6, 9]                     4       1
  19    57    6     [3, 7, 8]                     6       1
  19    57    6     [3, 7, 9]                     5       1
  19    57    6     [3, 8, 9]                     5       1
  19    57    6     [4, 5, 6]                     7       1
  19    57    6     [4, 5, 7]                     5       1
  19    57    6     [4, 5, 8]                     5       1
  19    57    6     [4, 5, 9]                     4       1
  19    57    6     [4, 6, 7]                     5       1
  19    57    6     [4, 6, 8]                     6       1
  19    57    6     [4, 6, 9]                     4       1
  19    57    6     [4, 7, 8]                     4       1
  19    57    6     [4, 7, 9]                     6       1
  19    57    6     [4, 8, 9]                     5       1
  19    57    6     [5, 6, 7]                     5       1
  19    57    6     [5, 6, 8]                     5       1
  19    57    6     [5, 6, 9]                     6       1
  19    57    6     [5, 7, 8]                     5       1
  19    57    6     [5, 7, 9]                     5       1
  19    57    6     [5, 8, 9]                     5       1
  19    57    6     [6, 7, 8]                     6       1
  19    57    6     [6, 7, 9]                     6       1
  19    57    6     [6, 8, 9]                     6       1
  19    57    6     [7, 8, 9]                     7       1
  19    76    8     [1, 2, 3, 4]                  3       1
  19    76    8     [1, 2, 3, 5]                  4       1
  19    76    8     [1, 2, 3, 6]                  4       1
  19    76    8     [1, 2, 3, 7]                  4       1
  19    76    8     [1, 2, 3, 8]                  4       1
  19    76    8     [1, 2, 3, 9]                  4       1
  19    76    8     [1, 2, 4, 5]                  5       1
  19    76    8     [1, 2, 4, 6]                  4       1
  19    76    8     [1, 2, 4, 7]                  5       1
  19    76    8     [1, 2, 4, 8]                  5       1
  19    76    8     [1, 2, 4, 9]                  5       1
  19    76    8     [1, 2, 5, 6]                  5       1
  19    76    8     [1, 2, 5, 7]                  4       1
  19    76    8     [1, 2, 5, 8]                  6       1
  19    76    8     [1, 2, 5, 9]                  5       1
  19    76    8     [1, 2, 6, 7]                  4       1
  19    76    8     [1, 2, 6, 8]                  4       1
  19    76    8     [1, 2, 6, 9]                  5       1
  19    76    8     [1, 2, 7, 8]                  4       1
  19    76    8     [1, 2, 7, 9]                  5       1
  19    76    8     [1, 2, 8, 9]                  3       1
  19    76    8     [1, 3, 4, 5]                  4       1
  19    76    8     [1, 3, 4, 6]                  5       1
  19    76    8     [1, 3, 4, 7]                  4       1
  19    76    8     [1, 3, 4, 8]                  5       1
  19    76    8     [1, 3, 4, 9]                  4       1
  19    76    8     [1, 3, 5, 6]                  4       1
  19    76    8     [1, 3, 5, 7]                  6       1
  19    76    8     [1, 3, 5, 8]                  4       1
  19    76    8     [1, 3, 5, 9]                  5       1
  19    76    8     [1, 3, 6, 7]                  4       1
  19    76    8     [1, 3, 6, 8]                  5       1
  19    76    8     [1, 3, 6, 9]                  4       1
  19    76    8     [1, 3, 7, 8]                  4       1
  19    76    8     [1, 3, 7, 9]                  5       1
  19    76    8     [1, 3, 8, 9]                  4       1
  19    76    8     [1, 4, 5, 6]                  4       1
  19    76    8     [1, 4, 5, 7]                  4       1
  19    76    8     [1, 4, 5, 8]                  5       1
  19    76    8     [1, 4, 5, 9]                  3       1
  19    76    8     [1, 4, 6, 7]                  4       1
  19    76    8     [1, 4, 6, 8]                  6       1
  19    76    8     [1, 4, 6, 9]                  4       1
  19    76    8     [1, 4, 7, 8]                  4       1
  19    76    8     [1, 4, 7, 9]                  6       1
  19    76    8     [1, 4, 8, 9]                  4       1
  19    76    8     [1, 5, 6, 7]                  3       1
  19    76    8     [1, 5, 6, 8]                  4       1
  19    76    8     [1, 5, 6, 9]                  5       1
  19    76    8     [1, 5, 7, 8]                  4       1
  19    76    8     [1, 5, 7, 9]                  5       1
  19    76    8     [1, 5, 8, 9]                  4       1
  19    76    8     [1, 6, 7, 8]                  4       1
  19    76    8     [1, 6, 7, 9]                  4       1
  19    76    8     [1, 6, 8, 9]                  4       1
  19    76    8     [1, 7, 8, 9]                  4       1
  19    76    8     [2, 3, 4, 5]                  4       1
  19    76    8     [2, 3, 4, 6]                  4       1
  19    76    8     [2, 3, 4, 7]                  4       1
  19    76    8     [2, 3, 4, 8]                  5       1
  19    76    8     [2, 3, 4, 9]                  6       1
  19    76    8     [2, 3, 5, 6]                  4       1
  19    76    8     [2, 3, 5, 7]                  4       1
  19    76    8     [2, 3, 5, 8]                  4       1
  19    76    8     [2, 3, 5, 9]                  4       1
  19    76    8     [2, 3, 6, 7]                  5       1
  19    76    8     [2, 3, 6, 8]                  5       1
  19    76    8     [2, 3, 6, 9]                  4       1
  19    76    8     [2, 3, 7, 8]                  6       1
  19    76    8     [2, 3, 7, 9]                  4       1
  19    76    8     [2, 3, 8, 9]                  5       1
  19    76    8     [2, 4, 5, 6]                  4       1
  19    76    8     [2, 4, 5, 7]                  4       1
  19    76    8     [2, 4, 5, 8]                  5       1
  19    76    8     [2, 4, 5, 9]                  4       1
  19    76    8     [2, 4, 6, 7]                  4       1
  19    76    8     [2, 4, 6, 8]                  3       1
  19    76    8     [2, 4, 6, 9]                  4       1
  19    76    8     [2, 4, 7, 8]                  4       1
  19    76    8     [2, 4, 7, 9]                  5       1
  19    76    8     [2, 4, 8, 9]                  5       1
