n = 4
  |V|   |E|   deg   Gen Set                 alpha   sigma
  10    25    5     [1, 4, 7, 8, 9]               2       1
  10    30    6     [1, 5, 6, 7, 8]               2       1
  10    30    6     [1, 5, 6, 7, 9]               2       1
  10    30    6     [1, 5, 6, 8, 9]               2       1
  10    30    6     [1, 5, 7, 8, 9]               2       1
  10    30    6     [1, 6, 7, 8, 9]               2       1
  10    30    6     [2, 3, 4, 5, 6]               2       1
  10    30    6     [2, 3, 4, 5, 7]               2       1
  10    30    6     [2, 3, 4, 5, 8]               2       1
  10    30    6     [2, 3, 4, 5, 9]               2       1
  10    30    6     [2, 3, 4, 6, 7]               2       1
  10    30    6     [2, 3, 4, 6, 8]               2       1
  10    30    6     [2, 3, 4, 6, 9]               2       1
  10    30    6     [2, 3, 4, 7, 8]               2       1
  10    30    6     [2, 3, 4, 7, 9]               2       1
  10    30    6     [2, 3, 4, 8, 9]               2       1
  10    25    5     [2, 3, 5, 6, 7]               3       1
  10    25    5     [2, 3, 5, 6, 8]               2       1
  10    25    5     [2, 3, 5, 6, 9]               3       1
  10    25    5     [2, 3, 5, 7, 8]               2       1
  10    25    5     [2, 3, 5, 7, 9]               2       1
  10    25    5     [2, 3, 5, 8, 9]               3       1
  10    25    5     [2, 3, 6, 7, 8]               3       1
  10    25    5     [2, 3, 6, 7, 9]               2       1
  10    25    5     [2, 3, 6, 8, 9]               2       1
  10    25    5     [2, 3, 7, 8, 9]               3       1
  10    35    7     [2, 4, 5, 6, 7]               2       1
  10    35    7     [2, 4, 5, 6, 8]               2       1
  10    35    7     [2, 4, 5, 6, 9]               2       1
  10    35    7     [2, 4, 5, 7, 8]               2       1
  10    35    7     [2, 4, 5, 7, 9]               2       1
  10    35    7     [2, 4, 5, 8, 9]               2       1
  10    35    7     [2, 4, 6, 7, 8]               2       1
  10    35    7     [2, 4, 6, 7, 9]               2       1
  10    35    7     [2, 4, 6, 8, 9]               2       1
  10    35    7     [2, 4, 7, 8, 9]               2       1
  10    30    6     [2, 5, 6, 7, 8]               2       1
  10    30    6     [2, 5, 6, 7, 9]               2       1
  10    30    6     [2, 5, 6, 8, 9]               2       1
  10    30    6     [2, 5, 7, 8, 9]               2       1
  10    30    6     [2, 6, 7, 8, 9]               2       1
  10    35    7     [3, 4, 5, 6, 7]               2       1
  10    35    7     [3, 4, 5, 6, 8]               2       1
  10    35    7     [3, 4, 5, 6, 9]               2       1
  10    35    7     [3, 4, 5, 7, 8]               2       1
  10    35    7     [3, 4, 5, 7, 9]               2       1
  10    35    7     [3, 4, 5, 8, 9]               2       1
  10    35    7     [3, 4, 6, 7, 8]               2       1
  10    35    7     [3, 4, 6, 7, 9]               2       1
  10    35    7     [3, 4, 6, 8, 9]               2       1
  10    35    7     [3, 4, 7, 8, 9]               2       1
  10    30    6     [3, 5, 6, 7, 8]               2       1
  10    30    6     [3, 5, 6, 7, 9]               2       1
  10    30    6     [3, 5, 6, 8, 9]               2       1
  10    30    6     [3, 5, 7, 8, 9]               2       1
  10    30    6     [3, 6, 7, 8, 9]               2       1
  10    30    6     [4, 5, 6, 7, 8]               2       1
  10    30    6     [4, 5, 6, 7, 9]               2       1
  10    30    6     [4, 5, 6, 8, 9]               2       1
  10    30    6     [4, 5, 7, 8, 9]               2       1
  10    30    6     [4, 6, 7, 8, 9]               2       1
  10    30    6     [1, 2, 3, 4, 5, 6]            2       1
  10    30    6     [1, 2, 3, 4, 5, 7]            2       1
  10    30    6     [1, 2, 3, 4, 5, 8]            2       1
  10    30    6     [1, 2, 3, 4, 5, 9]            2       1
  10    30    6     [1, 2, 3, 4, 6, 7]            2       1
  10    30    6     [1, 2, 3, 4, 6, 8]            2       1
  10    30    6     [1, 2, 3, 4, 6, 9]            2       1
  10    30    6     [1, 2, 3, 4, 7, 8]            2       1
  10    30    6     [1, 2, 3, 4, 7, 9]            2       1
